2025 National Rankings,Metropolitan Area,Total Score,Counties
52,Bridgeport CT,55.21,"Greater Bridgeport Planning Region, Western Connecticut Planning Region"
53,Minneapolis MN,55.05,"Anoka County MN, Carver County MN, Chisago County MN, Dakota County MN, Hennepin County MN, Isanti County MN, Le Sueur County MN, Mille Lacs County MN, Ramsey County MN, Scott County MN, Sherburne County MN, Washington County MN, Wright County MN, Pierce County WI, St. Croix County WI"
54,New Orleans LA,54.72,"Jefferson Parish, Orleans Parish, Plaquemines Parish, St. Bernard Parish, St. Charles Parish, St. James Parish, St. John the Baptist Parish"
55,San Diego CA,54.32,San Diego County
56,Oxnard CA,53.78,Ventura County
57,Columbus OH,53.17,"Delaware County, Fairfield County, Franklin County, Hocking County, Licking County, Madison County, Morrow County, Perry County, Pickaway County, Union County"
58,San Jose CA,52.00,"San Benito County, Santa Clara County"
59,Wichita KS,51.62,"Butler County, Harvey County, Sedgwick County, Sumner County"
60,Oklahoma City OK,51.05,"Canadian County, Cleveland County, Grady County, Lincoln County, Logan County, McClain County, Oklahoma County"
61,Chicago IL,51.02,"Cook County IL, DuPage County IL, Grundy County IL, McHenry County IL, Will County IL, DeKalb County IL, Kane County IL, Kendall County IL, Lake County IL, Jasper County IN, Lake County IN, Newton County IN, Porter County IN"
62,Seattle WA,50.78,"Snohomish County, King County, Pierce County"
63,New Haven CT,50.76,South Central Connecticut Planning Region
64,Ogden UT,50.75,"Davis County, Morgan County, Weber County"
65,Baton Rouge LA,50.33,"Ascension Parish, Assumption Parish, East Baton Rouge Parish, East Feliciana Parish, Iberville Parish, Livingston Parish, Pointe Coupee Parish, St. Helena Parish, West Baton Rouge Parish, West Feliciana Parish"
66,Akron OH,49.94,"Portage County, Summit County"
67,Buffalo NY,48.70,"Erie County, Niagara County"
68,Portland OR,47.51,"Clackamas County OR, Columbia County OR, Multnomah County OR, Washington County OR, Yamhill County OR, Clark County WA, Skamania County WA"
69,Denver CO,47.05,"Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Elbert County, Gilpin County, Jefferson County, Park County"
70,Tulsa OK,46.73,"Creek County, Okmulgee County, Osage County, Pawnee County, Rogers County, Tulsa County, Wagoner County"
71,Grand Rapids MI,46.21,"Barry County, Ionia County, Kent County, Montcalm County, Ottawa County"
72,Boston MA,46.17,"Norfolk County, Plymouth County, Suffolk County, Essex County, Middlesex County, Rockingham County NH, Strafford County NH"
73,Daytona Beach FL,45.98,"Flagler County, Volusia County"
74,Kansas City MO,45.93,"Johnson County KS, Leavenworth County KS, Linn County KS, Miami County KS, Wyandotte County KS, Bates County MO, Caldwell County MO, Cass County MO, Clay County MO, Clinton County MO, Jackson County MO, Lafayette County MO, Platte County MO, Ray County MO"
75,El Paso TX,45.91,"El Paso County, Hudspeth County"
76,Greensboro NC,45.27,"Guilford County, Randolph County, Rockingham County"
77,Chattanooga TN,45.08,"Catoosa County GA, Dade County GA, Walker County GA, Hamilton County TN, Marion County TN, Sequatchie County TN"
78,McAllen TX,44.18,Hidalgo County
79,Jacksonville FL,43.41,"Baker County, Clay County, Duval County, Nassau County, St. Johns County"
80,San Antonio TX,43.06,"Atascosa County, Bandera County, Bexar County, Comal County, Guadalupe County, Kendall County, Medina County, Wilson County"
81,Raleigh NC,42.80,"Franklin County, Johnston County, Wake County"
82,Madison WI,42.48,"Columbia County, Dane County, Green County, Iowa County"
83,Salt Lake City UT,42.14,"Salt Lake County, Tooele County"
84,Tampa FL,42.07,"Pinellas County, Hernando County, Hillsborough County, Pasco County"
85,Augusta GA,41.70,"Burke County GA, Columbia County GA, Lincoln County GA, McDuffie County GA, Richmond County GA, Aiken County SC, Edgefield County SC"
86,Austin TX,41.70,"Bastrop County, Caldwell County, Hays County, Travis County, Williamson County"
87,Sarasota FL,41.34,"Manatee County, Sarasota County"
88,Charlotte NC,41.19,"Anson County NC, Cabarrus County NC, Gaston County NC, Iredell County NC, Lincoln County NC, Mecklenburg County NC, Rowan County NC, Union County NC, Chester County SC, Lancaster County SC, York County SC"
89,Colorado Springs CO,39.05,"El Paso County, Teller County"
90,Fayetteville AR,38.31,"Benton County, Madison County, Washington County"
91,Birmingham AL,38.13,"Bibb County, Blount County, Chilton County, Jefferson County, St. Clair County, Shelby County, Walker County"
92,Cape Coral FL,37.98,Lee County
93,Durham NC,37.48,"Chatham County, Durham County, Orange County, Person County"
94,Knoxville TN,37.01,"Anderson County, Blount County, Campbell County, Grainger County, Knox County, Loudon County, Morgan County, Roane County, Union County"
95,Houston TX,36.08,"Austin County, Brazoria County, Chambers County, Fort Bend County, Galveston County, Harris County, Liberty County, Montgomery County, San Jacinto County, Waller County"
96,Boise ID,35.90,"Ada County, Boise County, Canyon County, Gem County, Owyhee County"
97,Winston-Salem NC,34.22,"Davidson County, Davie County, Forsyth County, Stokes County, Yadkin County"
98,Little Rock AR,33.89,"Faulkner County, Grant County, Lonoke County, Perry County, Pulaski County, Saline County"
99,Provo UT,31.42,"Juab County, Utah County"
100,Des Moines IA,28.22,"Dallas County, Guthrie County, Jasper County, Madison County, Polk County, Warren County"
