2025 National Rankings,Metropolitan Area,Total Score,Counties
1,Detroit MI,100.00,"Wayne County, Lapeer County, Livingston County, Macomb County, Oakland County, St. Clair County"
2,Rochester NY,94.91,"Livingston County, Monroe County, Ontario County, Orleans County, Wayne County"
3,Allentown PA,90.49,"Warren County NJ, Carbon County PA, Lehigh County PA, Northampton County PA"
4,Philadelphia PA,89.94,"Bucks County, Chester County, Montgomery County, Delaware County, Philadelphia County, Burlington County NJ, Camden County NJ, Gloucester County NJ, New Castle County DE, Cecil County MD, Salem County NJ"
5,Cleveland OH,84.45,"Ashtabula County, Cuyahoga County, Geauga County, Lake County, Lorain County, Medina County"
6,Fresno CA,83.44,"Fresno County, Madera County"
7,Hartford CT,83.10,"Capitol Planning Region, Lower Connecticut River Valley Planning Region"
8,Albany NY,81.66,"Albany County, Rensselaer County, Saratoga County, Schenectady County, Schoharie County"
9,Providence RI,78.37,"Bristol County MA, Bristol County RI, Kent County RI, Newport County RI, Providence County RI, Washington County RI"
10,Milwaukee WI,78.14,"Milwaukee County, Ozaukee County, Washington County, Waukesha County"
11,Lakeland FL,76.43,Polk County
12,Charleston SC,75.68,"Berkeley County, Charleston County, Dorchester County"
13,Baltimore MD,74.71,"Anne Arundel County, Baltimore County, Carroll County, Harford County, Howard County, Queen Anne's County, Baltimore city"
14,Sacramento CA,73.83,"El Dorado County, Placer County, Sacramento County, Yolo County"
15,Harrisburg PA,72.74,"Cumberland County, Dauphin County, Perry County"
16,Richmond VA,72.09,"Amelia County, Charles City County, Chesterfield County, Dinwiddie County, Goochland County, Hanover County, Henrico County, King and Queen County, King William County, New Kent County, Powhatan County, Prince George County, Sussex County, Colonial Heights city, Hopewell city, Petersburg city, Richmond city"
17,Phoenix AZ,71.23,"Maricopa County, Pinal County"
18,Syracuse NY,70.30,"Madison County, Onondaga County, Oswego County"
19,Poughkeepsie NY,69.93,"Dutchess County, Orange County"
20,Spokane WA,69.17,"Spokane County, Stevens County"
21,Worcester MA,68.80,Worcester County
22,Tucson AZ,68.43,Pima County
23,Virginia Beach VA,67.31,"Camden County NC, Currituck County NC, Gates County NC, Gloucester County VA, Isle of Wight County VA, James City County VA, Mathews County VA, Surry County VA, York County VA, Chesapeake city VA, Hampton city VA, Newport News city VA, Norfolk city VA, Poquoson city VA, Portsmouth city VA, Suffolk city VA, Virginia Beach city VA, Williamsburg city VA"
24,Scranton PA,67.21,"Lackawanna County, Luzerne County, Wyoming County"
25,New York NY,65.89,"Bergen County NJ, Hudson County NJ, Passaic County NJ, Middlesex County NJ, Monmouth County NJ, Ocean County NJ, Somerset County NJ, Essex County NJ, Hunterdon County NJ, Morris County NJ, Sussex County NJ, Union County NJ, Bronx County NY, Kings County NY, New York County NY, Putnam County NY, Queens County NY, Richmond County NY, Rockland County NY, Westchester County NY, Nassau County NY, Suffolk County NY"
26,Los Angeles CA,65.52,"Orange County, Los Angeles County"
27,Albuquerque NM,65.42,"Bernalillo County, Sandoval County, Torrance County, Valencia County"
28,Omaha NE,65.25,"Harrison County IA, Mills County IA, Pottawattamie County IA, Cass County NE, Douglas County NE, Sarpy County NE, Saunders County NE, Washington County NE"
29,Columbia SC,64.20,"Calhoun County, Fairfield County, Kershaw County, Lexington County, Richland County, Saluda County"
30,Stockton CA,63.86,San Joaquin County
31,Washington DC,63.27,"Arlington County VA, Clarke County VA, Culpeper County VA, Fairfax County VA, Fauquier County VA, Loudoun County VA, Prince William County VA, Rappahannock County VA, Spotsylvania County VA, Stafford County VA, Warren County VA, Alexandria city VA, Fairfax city VA, Falls Church city VA, Fredericksburg city VA, Manassas city VA, Manassas Park city VA, Frederick County MD, Montgomery County MD, Charles County MD, Prince George's County MD, District of Columbia DC, Jefferson County WV"
32,St. Louis MO,62.32,"Bond County IL, Calhoun County IL, Clinton County IL, Jersey County IL, Macoupin County IL, Madison County IL, Monroe County IL, St. Clair County IL, Crawford County MO, Franklin County MO, Jefferson County MO, Lincoln County MO, St. Charles County MO, St. Louis County MO, Warren County MO, St. Louis city MO"
33,Orlando FL,62.21,"Lake County, Orange County, Osceola County, Seminole County"
34,Greenville SC,62.09,"Anderson County, Greenville County, Laurens County, Pickens County"
35,Cincinnati OH,62.03,"Dearborn County IN, Franklin County IN, Ohio County IN, Boone County KY, Bracken County KY, Campbell County KY, Gallatin County KY, Grant County KY, Kenton County KY, Pendleton County KY, Brown County OH, Butler County OH, Clermont County OH, Hamilton County OH, Warren County OH"
36,Dallas TX,61.04,"Collin County, Dallas County, Denton County, Ellis County, Hunt County, Kaufman County, Rockwall County, Johnson County, Parker County, Tarrant County, Wise County"
37,Toledo OH,60.41,"Fulton County, Lucas County, Wood County"
38,Miami FL,60.37,"Broward County, Miami-Dade County, Palm Beach County"
39,Atlanta GA,59.49,"Barrow County, Butts County, Carroll County, Clayton County, Coweta County, Dawson County, DeKalb County, Douglas County, Fayette County, Forsyth County, Fulton County, Gwinnett County, Heard County, Henry County, Jasper County, Lumpkin County, Meriwether County, Morgan County, Newton County, Pickens County, Pike County, Rockdale County, Spalding County, Walton County, Bartow County, Cherokee County, Cobb County, Haralson County, Paulding County"
40,Bakersfield CA,59.24,Kern County
41,Riverside CA,59.16,"Riverside County, San Bernardino County"
42,Memphis TN,58.31,"Crittenden County AR, Benton County MS, DeSoto County MS, Marshall County MS, Tate County MS, Tunica County MS, Fayette County TN, Shelby County TN, Tipton County TN"
43,Indianapolis IN,58.30,"Boone County, Brown County, Hamilton County, Hancock County, Hendricks County, Johnson County, Madison County, Marion County, Morgan County, Shelby County, Tipton County"
44,Pittsburgh PA,57.61,"Allegheny County, Armstrong County, Beaver County, Butler County, Fayette County, Lawrence County, Washington County, Westmoreland County"
45,San Francisco CA,57.55,"Alameda County, Contra Costa County, San Francisco County, San Mateo County, Marin County"
46,Las Vegas NV,57.34,Clark County
47,Jackson MS,56.94,"Copiah County, Hinds County, Holmes County, Madison County, Rankin County, Scott County, Simpson County, Yazoo County"
48,Palm Bay FL,56.50,Brevard County
49,Louisville KY,56.22,"Clark County IN, Floyd County IN, Harrison County IN, Washington County IN, Bullitt County KY, Henry County KY, Jefferson County KY, Meade County KY, Nelson County KY, Oldham County KY, Shelby County KY, Spencer County KY"
50,Nashville TN,56.06,"Cannon County, Cheatham County, Davidson County, Dickson County, Hickman County, Macon County, Maury County, Robertson County, Rutherford County, Smith County, Sumner County, Trousdale County, Williamson County, Wilson County"
51,Dayton OH,55.40,"Greene County, Miami County, Montgomery County"
