2023 National Rankings,Metropolitan Area,Total Score,Counties
49,Columbia SC,61.55,"Calhoun County, Fairfield County, Kershaw County, Lexington County, Richland County, Saluda County"
50,Nashville TN,61.36,"Cannon County, Cheatham County, Davidson County, Dickson County, Hickman County, Macon County, Maury County, Robertson County, Rutherford County, Smith County, Sumner County, Trousdale County, Williamson County, Wilson County"
51,Kansas City MO,60.58,"Johnson County KS, Leavenworth County KS, Linn County KS, Miami County KS, Wyandotte County KS, Bates County MO, Caldwell County MO, Cass County MO, Clay County MO, Clinton County MO, Jackson County MO, Lafayette County MO, Platte County MO, Ray County MO"
52,Chattanooga TN,60.20,"Catoosa County GA, Dade County GA, Walker County GA, Hamilton County TN, Marion County TN, Sequatchie County TN"
53,Washington DC,59.55,"Arlington County VA, Clarke County VA, Culpeper County VA, Fairfax County VA, Fauquier County VA, Loudoun County VA, Prince William County VA, Rappahannock County VA, Spotsylvania County VA, Stafford County VA, Warren County VA, Alexandria city VA, Fairfax city VA, Falls Church city VA, Fredericksburg city VA, Manassas city VA, Manassas Park city VA, Frederick County MD, Montgomery County MD, Charles County MD, Prince George's County MD, District of Columbia DC, Jefferson County WV"
54,El Paso TX,59.54,"El Paso County, Hudspeth County"
55,Memphis TN,58.90,"Crittenden County AR, Benton County MS, DeSoto County MS, Marshall County MS, Tate County MS, Tunica County MS, Fayette County TN, Shelby County TN, Tipton County TN"
56,Sarasota FL,58.66,"Manatee County, Sarasota County"
57,Virginia Beach VA,57.58,"Camden County NC, Currituck County NC, Gates County NC, Gloucester County VA, Isle of Wight County VA, James City County VA, Mathews County VA, Surry County VA, York County VA, Chesapeake city VA, Hampton city VA, Newport News city VA, Norfolk city VA, Poquoson city VA, Portsmouth city VA, Suffolk city VA, Virginia Beach city VA, Williamsburg city VA"
58,Los Angeles CA,57.48,"Orange County, Los Angeles County"
59,Syracuse NY,57.41,"Madison County, Onondaga County, Oswego County"
60,Hartford CT,57.07,"Capitol Planning Region, Lower Connecticut River Valley Planning Region"
61,Albuquerque NM,56.90,"Bernalillo County, Sandoval County, Torrance County, Valencia County"
62,Providence RI,56.38,"Bristol County MA, Bristol County RI, Kent County RI, Newport County RI, Providence County RI, Washington County RI"
63,Jackson MS,55.65,"Copiah County, Hinds County, Holmes County, Madison County, Rankin County, Scott County, Simpson County, Yazoo County"
64,San Diego CA,55.50,San Diego County
65,Houston TX,55.26,"Austin County, Brazoria County, Chambers County, Fort Bend County, Galveston County, Harris County, Liberty County, Montgomery County, San Jacinto County, Waller County"
66,Buffalo NY,54.37,"Erie County, Niagara County"
67,Minneapolis MN,54.26,"Anoka County MN, Carver County MN, Chisago County MN, Dakota County MN, Hennepin County MN, Isanti County MN, Le Sueur County MN, Mille Lacs County MN, Ramsey County MN, Scott County MN, Sherburne County MN, Washington County MN, Wright County MN, Pierce County WI, St. Croix County WI"
68,Worcester MA,53.31,Worcester County
69,Austin TX,53.21,"Bastrop County, Caldwell County, Hays County, Travis County, Williamson County"
70,Des Moines IA,52.43,"Dallas County, Guthrie County, Jasper County, Madison County, Polk County, Warren County"
71,Milwaukee WI,52.28,"Milwaukee County, Ozaukee County, Washington County, Waukesha County"
72,Seattle WA,51.79,"Snohomish County, King County, Pierce County"
73,Bakersfield CA,51.09,Kern County
74,Scranton PA,50.01,"Lackawanna County, Luzerne County, Wyoming County"
75,Tulsa OK,49.95,"Creek County, Okmulgee County, Osage County, Pawnee County, Rogers County, Tulsa County, Wagoner County"
76,San Jose CA,49.59,"San Benito County, Santa Clara County"
77,San Francisco CA,49.48,"Alameda County, Contra Costa County, San Francisco County, San Mateo County, Marin County"
78,Greensboro NC,49.45,"Guilford County, Randolph County, Rockingham County"
79,Oklahoma City OK,48.10,"Canadian County, Cleveland County, Grady County, Lincoln County, Logan County, McClain County, Oklahoma County"
80,Augusta GA,47.81,"Burke County GA, Columbia County GA, Lincoln County GA, McDuffie County GA, Richmond County GA, Aiken County SC, Edgefield County SC"
81,Grand Rapids MI,47.74,"Barry County, Ionia County, Kent County, Montcalm County, Ottawa County"
82,Charlotte NC,46.24,"Anson County NC, Cabarrus County NC, Gaston County NC, Iredell County NC, Lincoln County NC, Mecklenburg County NC, Rowan County NC, Union County NC, Chester County SC, Lancaster County SC, York County SC"
83,Colorado Springs CO,45.24,"El Paso County, Teller County"
84,Bridgeport CT,45.10,"Greater Bridgeport Planning Region, Western Connecticut Planning Region"
85,Portland OR,43.96,"Clackamas County OR, Columbia County OR, Multnomah County OR, Washington County OR, Yamhill County OR, Clark County WA, Skamania County WA"
86,Birmingham AL,43.46,"Bibb County, Blount County, Chilton County, Jefferson County, St. Clair County, Shelby County, Walker County"
87,Denver CO,43.41,"Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Elbert County, Gilpin County, Jefferson County, Park County"
88,Knoxville TN,41.77,"Anderson County, Blount County, Campbell County, Grainger County, Knox County, Loudon County, Morgan County, Roane County, Union County"
89,Boston MA,41.03,"Norfolk County, Plymouth County, Suffolk County, Essex County, Middlesex County, Rockingham County NH, Strafford County NH"
90,Boise ID,40.76,"Ada County, Boise County, Canyon County, Gem County, Owyhee County"
91,Raleigh NC,40.68,"Franklin County, Johnston County, Wake County"
92,New Haven CT,40.47,South Central Connecticut Planning Region
93,Winston-Salem NC,38.91,"Davidson County, Davie County, Forsyth County, Stokes County, Yadkin County"
94,Ogden UT,38.48,"Davis County, Morgan County, Weber County"
95,Little Rock AR,37.22,"Faulkner County, Grant County, Lonoke County, Perry County, Pulaski County, Saline County"
96,Durham NC,36.95,"Chatham County, Durham County, Orange County, Person County"
97,Madison WI,36.76,"Columbia County, Dane County, Green County, Iowa County"
98,Oxnard CA,36.60,Ventura County
99,Salt Lake City UT,35.21,"Salt Lake County, Tooele County"
100,Provo UT,23.42,"Juab County, Utah County"
