2023 National Rankings,Metropolitan Area,Total Score,Counties
1,Allentown PA,100.00,"Warren County NJ, Carbon County PA, Lehigh County PA, Northampton County PA"
2,Lakeland FL,93.65,Polk County
3,Charleston SC,92.89,"Berkeley County, Charleston County, Dorchester County"
4,Cleveland OH,92.69,"Ashtabula County, Cuyahoga County, Geauga County, Lake County, Lorain County, Medina County"
5,Detroit MI,91.48,"Wayne County, Lapeer County, Livingston County, Macomb County, Oakland County, St. Clair County"
6,Poughkeepsie NY,88.96,"Dutchess County, Orange County"
7,Richmond VA,87.66,"Amelia County, Charles City County, Chesterfield County, Dinwiddie County, Goochland County, Hanover County, Henrico County, King and Queen County, King William County, New Kent County, Powhatan County, Prince George County, Sussex County, Colonial Heights city, Hopewell city, Petersburg city, Richmond city"
8,Philadelphia PA,86.73,"Bucks County, Chester County, Montgomery County, Delaware County, Philadelphia County, Burlington County NJ, Camden County NJ, Gloucester County NJ, New Castle County DE, Cecil County MD, Salem County NJ"
9,Fresno CA,86.40,"Fresno County, Madera County"
10,Rochester NY,80.97,"Livingston County, Monroe County, Ontario County, Orleans County, Wayne County"
11,Columbus OH,80.29,"Delaware County, Fairfield County, Franklin County, Hocking County, Licking County, Madison County, Morrow County, Perry County, Pickaway County, Union County"
12,Baltimore MD,79.14,"Anne Arundel County, Baltimore County, Carroll County, Harford County, Howard County, Queen Anne's County, Baltimore city"
13,St. Louis MO,78.84,"Bond County IL, Calhoun County IL, Clinton County IL, Jersey County IL, Macoupin County IL, Madison County IL, Monroe County IL, St. Clair County IL, Crawford County MO, Franklin County MO, Jefferson County MO, Lincoln County MO, St. Charles County MO, St. Louis County MO, Warren County MO, St. Louis city MO"
14,Orlando FL,78.67,"Lake County, Orange County, Osceola County, Seminole County"
15,New York NY,77.97,"Bergen County NJ, Hudson County NJ, Passaic County NJ, Middlesex County NJ, Monmouth County NJ, Ocean County NJ, Somerset County NJ, Essex County NJ, Hunterdon County NJ, Morris County NJ, Sussex County NJ, Union County NJ, Bronx County NY, Kings County NY, New York County NY, Putnam County NY, Queens County NY, Richmond County NY, Rockland County NY, Westchester County NY, Nassau County NY, Suffolk County NY"
16,Harrisburg PA,75.46,"Cumberland County, Dauphin County, Perry County"
17,McAllen TX,75.22,Hidalgo County
18,Omaha NE,74.96,"Harrison County IA, Mills County IA, Pottawattamie County IA, Cass County NE, Douglas County NE, Sarpy County NE, Saunders County NE, Washington County NE"
19,Dayton OH,74.22,"Greene County, Miami County, Montgomery County"
20,Greenville SC,73.75,"Anderson County, Greenville County, Laurens County, Pickens County"
21,Spokane WA,73.10,"Spokane County, Stevens County"
22,Cape Coral FL,72.58,Lee County
23,Albany NY,71.88,"Albany County, Rensselaer County, Saratoga County, Schenectady County, Schoharie County"
24,Las Vegas NV,71.81,Clark County
25,Miami FL,71.66,"Broward County, Miami-Dade County, Palm Beach County"
26,New Orleans LA,71.53,"Jefferson Parish, Orleans Parish, Plaquemines Parish, St. Bernard Parish, St. Charles Parish, St. James Parish, St. John the Baptist Parish"
27,San Antonio TX,71.12,"Atascosa County, Bandera County, Bexar County, Comal County, Guadalupe County, Kendall County, Medina County, Wilson County"
28,Toledo OH,71.11,"Fulton County, Lucas County, Wood County"
29,Cincinnati OH,70.13,"Dearborn County IN, Franklin County IN, Ohio County IN, Boone County KY, Bracken County KY, Campbell County KY, Gallatin County KY, Grant County KY, Kenton County KY, Pendleton County KY, Brown County OH, Butler County OH, Clermont County OH, Hamilton County OH, Warren County OH"
30,Jacksonville FL,69.34,"Baker County, Clay County, Duval County, Nassau County, St. Johns County"
31,Phoenix AZ,67.94,"Maricopa County, Pinal County"
32,Tampa FL,67.57,"Pinellas County, Hernando County, Hillsborough County, Pasco County"
33,Tucson AZ,67.57,Pima County
34,Louisville KY,67.56,"Clark County IN, Floyd County IN, Harrison County IN, Washington County IN, Bullitt County KY, Henry County KY, Jefferson County KY, Meade County KY, Nelson County KY, Oldham County KY, Shelby County KY, Spencer County KY"
35,Chicago IL,67.19,"Cook County IL, DuPage County IL, Grundy County IL, McHenry County IL, Will County IL, DeKalb County IL, Kane County IL, Kendall County IL, Lake County IL, Jasper County IN, Lake County IN, Newton County IN, Porter County IN"
36,Dallas TX,66.81,"Collin County, Dallas County, Denton County, Ellis County, Hunt County, Kaufman County, Rockwall County, Johnson County, Parker County, Tarrant County, Wise County"
37,Atlanta GA,65.72,"Barrow County, Butts County, Carroll County, Clayton County, Coweta County, Dawson County, DeKalb County, Douglas County, Fayette County, Forsyth County, Fulton County, Gwinnett County, Heard County, Henry County, Jasper County, Lumpkin County, Meriwether County, Morgan County, Newton County, Pickens County, Pike County, Rockdale County, Spalding County, Walton County, Bartow County, Cherokee County, Cobb County, Haralson County, Paulding County"
38,Indianapolis IN,65.21,"Boone County, Brown County, Hamilton County, Hancock County, Hendricks County, Johnson County, Madison County, Marion County, Morgan County, Shelby County, Tipton County"
39,Akron OH,65.18,"Portage County, Summit County"
40,Daytona Beach FL,64.17,"Flagler County, Volusia County"
41,Stockton CA,63.59,San Joaquin County
42,Sacramento CA,62.90,"El Dorado County, Placer County, Sacramento County, Yolo County"
43,Pittsburgh PA,62.63,"Allegheny County, Armstrong County, Beaver County, Butler County, Fayette County, Lawrence County, Washington County, Westmoreland County"
44,Riverside CA,62.55,"Riverside County, San Bernardino County"
45,Baton Rouge LA,62.50,"Ascension Parish, Assumption Parish, East Baton Rouge Parish, East Feliciana Parish, Iberville Parish, Livingston Parish, Pointe Coupee Parish, St. Helena Parish, West Baton Rouge Parish, West Feliciana Parish"
46,Springfield MA,62.44,Hampden County
47,Wichita KS,62.08,"Butler County, Harvey County, Sedgwick County, Sumner County"
48,Palm Bay FL,61.96,Brevard County
