2022 National Rankings,Metropolitan Area,Total Score,Counties
53,Kansas City MO,60.80,"Johnson County KS, Leavenworth County KS, Linn County KS, Miami County KS, Wyandotte County KS, Bates County MO, Caldwell County MO, Cass County MO, Clay County MO, Clinton County MO, Jackson County MO, Lafayette County MO, Platte County MO, Ray County MO"
54,Riverside CA,60.24,"Riverside County, San Bernardino County"
55,Minneapolis MN,59.76,"Anoka County MN, Carver County MN, Chisago County MN, Dakota County MN, Hennepin County MN, Isanti County MN, Le Sueur County MN, Mille Lacs County MN, Ramsey County MN, Scott County MN, Sherburne County MN, Washington County MN, Wright County MN, Pierce County WI, St. Croix County WI"
56,El Paso TX,59.69,"El Paso County, Hudspeth County"
57,Tulsa OK,59.68,"Creek County, Okmulgee County, Osage County, Pawnee County, Rogers County, Tulsa County, Wagoner County"
58,Providence RI,58.91,"Bristol County MA, Bristol County RI, Kent County RI, Newport County RI, Providence County RI, Washington County RI"
59,Washington DC,58.50,"Arlington County VA, Clarke County VA, Culpeper County VA, Fairfax County VA, Fauquier County VA, Loudoun County VA, Prince William County VA, Rappahannock County VA, Spotsylvania County VA, Stafford County VA, Warren County VA, Alexandria city VA, Fairfax city VA, Falls Church city VA, Fredericksburg city VA, Manassas city VA, Manassas Park city VA, Frederick County MD, Montgomery County MD, Charles County MD, Prince George's County MD, District of Columbia DC, Jefferson County WV"
60,Memphis TN,57.07,"Crittenden County AR, Benton County MS, DeSoto County MS, Marshall County MS, Tate County MS, Tunica County MS, Fayette County TN, Shelby County TN, Tipton County TN"
61,Syracuse NY,56.96,"Madison County, Onondaga County, Oswego County"
62,Los Angeles CA,56.92,"Orange County, Los Angeles County"
63,Worcester MA,56.91,Worcester County
64,Houston TX,56.35,"Austin County, Brazoria County, Chambers County, Fort Bend County, Galveston County, Harris County, Liberty County, Montgomery County, San Jacinto County, Waller County"
65,Buffalo NY,56.35,"Erie County, Niagara County"
66,Austin TX,56.19,"Bastrop County, Caldwell County, Hays County, Travis County, Williamson County"
67,Virginia Beach VA,55.78,"Camden County NC, Currituck County NC, Gates County NC, Gloucester County VA, Isle of Wight County VA, James City County VA, Mathews County VA, Surry County VA, York County VA, Chesapeake city VA, Hampton city VA, Newport News city VA, Norfolk city VA, Poquoson city VA, Portsmouth city VA, Suffolk city VA, Virginia Beach city VA, Williamsburg city VA"
68,Chattanooga TN,55.51,"Catoosa County GA, Dade County GA, Walker County GA, Hamilton County TN, Marion County TN, Sequatchie County TN"
69,Hartford CT,55.22,"Capitol Planning Region, Lower Connecticut River Valley Planning Region"
70,San Francisco CA,55.13,"Alameda County, Contra Costa County, San Francisco County, San Mateo County, Marin County"
71,San Diego CA,54.98,San Diego County
72,Grand Rapids MI,54.68,"Barry County, Ionia County, Kent County, Montcalm County, Ottawa County"
73,Oklahoma City OK,54.48,"Canadian County, Cleveland County, Grady County, Lincoln County, Logan County, McClain County, Oklahoma County"
74,Bakersfield CA,53.92,Kern County
75,Des Moines IA,53.61,"Dallas County, Guthrie County, Jasper County, Madison County, Polk County, Warren County"
76,Seattle WA,52.96,"Snohomish County, King County, Pierce County"
77,Scranton PA,52.45,"Lackawanna County, Luzerne County, Wyoming County"
78,Denver CO,51.52,"Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Elbert County, Gilpin County, Jefferson County, Park County"
79,San Jose CA,50.95,"San Benito County, Santa Clara County"
80,Boise ID,48.75,"Ada County, Boise County, Canyon County, Gem County, Owyhee County"
81,Albuquerque NM,48.65,"Bernalillo County, Sandoval County, Torrance County, Valencia County"
82,Charlotte NC,48.33,"Anson County NC, Cabarrus County NC, Gaston County NC, Iredell County NC, Lincoln County NC, Mecklenburg County NC, Rowan County NC, Union County NC, Chester County SC, Lancaster County SC, York County SC"
83,Portland OR,47.69,"Clackamas County OR, Columbia County OR, Multnomah County OR, Washington County OR, Yamhill County OR, Clark County WA, Skamania County WA"
84,Augusta GA,47.38,"Burke County GA, Columbia County GA, Lincoln County GA, McDuffie County GA, Richmond County GA, Aiken County SC, Edgefield County SC"
85,Bridgeport CT,47.35,"Greater Bridgeport Planning Region, Western Connecticut Planning Region"
86,Birmingham AL,45.70,"Bibb County, Blount County, Chilton County, Jefferson County, St. Clair County, Shelby County, Walker County"
87,Knoxville TN,45.41,"Anderson County, Blount County, Campbell County, Grainger County, Knox County, Loudon County, Morgan County, Roane County, Union County"
88,Ogden UT,44.08,"Davis County, Morgan County, Weber County"
89,Greensboro NC,43.92,"Guilford County, Randolph County, Rockingham County"
90,New Haven CT,43.48,South Central Connecticut Planning Region
91,Boston MA,41.52,"Norfolk County, Plymouth County, Suffolk County, Essex County, Middlesex County, Rockingham County NH, Strafford County NH"
92,Durham NC,40.71,"Chatham County, Durham County, Orange County, Person County"
93,Little Rock AR,39.60,"Faulkner County, Grant County, Lonoke County, Perry County, Pulaski County, Saline County"
94,Salt Lake City UT,39.55,"Salt Lake County, Tooele County"
95,Oxnard CA,39.34,Ventura County
96,Madison WI,37.99,"Columbia County, Dane County, Green County, Iowa County"
97,Raleigh NC,36.92,"Franklin County, Johnston County, Wake County"
98,Colorado Springs CO,36.77,"El Paso County, Teller County"
99,Winston-Salem NC,35.74,"Davidson County, Davie County, Forsyth County, Stokes County, Yadkin County"
100,Provo UT,29.47,"Juab County, Utah County"
